paper_id,title,authors,year,venue,doi,url,pdf_path,pdf_status,zotero_select_uri,topic,status,priority,added_by,source,paper_type,actuation_type,model_type,validation_type,question_supported,why_opened,why_read_now,why_relevant,screening_notes,key_takeaway,limitations,decision_impact,zotero_key,notes_file,next_action
ZOTERO:KLVFLZAF,"Exo-Glove Shell  A Hybrid Rigid-Soft Wearable Robot for  Thumb Opposition, with an Under-Actuated Tendon-Driven System",et.all Kim,,,,https://sites.google.com/view/exo-gloveshell/,,missing,,,inbox,medium,rami,zotero,standard,,,,,,,,,,,,KLVFLZAF,notes/papers/punknown_kim_exo_glove_shell_hybrid_rigid_soft.md,screen abstract and decide topic memo placement
ZOTERO:5FMUJP7H,From simulation to reality: a variable-stiffness robot,Louise Mattelaer,,,,,/Users/rami/Zotero/storage/AE8C2X9N/Mattelaer - From simulation to reality a variable-stiffness robot.pdf,attached,zotero://select/library/items/AE8C2X9N,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,5FMUJP7H,notes/papers/punknown_mattelaer_simulation_reality_variable_stiffness_robot.md,screen abstract and decide topic memo placement
DOI:10.1089/soro.2018.0006,Exo-Glove Poly II: A Polymer-Based Soft Wearable Robot for the Hand with a Tendon-Driven Actuation System,Brian Byunghyun Kang; Hyungmin Choi; Haemin Lee; Kyu-Jin Cho,2019,Soft Robotics,10.1089/soro.2018.0006,https://journals.sagepub.com/doi/10.1089/soro.2018.0006,/Users/rami/Zotero/storage/VFJB322I/Kang et al. - 2019 - Exo-Glove Poly II A Polymer-Based Soft Wearable Robot for the Hand with a Tendon-Driven Actuation S.pdf,attached,zotero://select/library/items/VFJB322I,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,AK9DKBWB,notes/papers/p2019_kang_exo_glove_poly_ii_polymer_based.md,screen abstract and decide topic memo placement
DOI:10.1155/2019/6530838,"Music and Metronomes Differentially Impact Motor Timing in People with and without Parkinson’s Disease: Effects of Slow, Medium, and Fast Tempi on Entrainment and Synchronization Performances in Finger Tapping, Toe Tapping, and Stepping on the Spot Tasks",Dawn Rose; Yvonne Delevoye-Turrell; Laurent Ott; Lucy E. Annett; Peter J. Lovatt,2019,Parkinson's Disease,10.1155/2019/6530838,https://www.hindawi.com/journals/pd/2019/6530838/,/Users/rami/Zotero/storage/9P9BRYUK/Rose et al. - 2019 - Music and Metronomes Differentially Impact Motor Timing in People with and without Parkinson’s Disea.pdf,attached,zotero://select/library/items/9P9BRYUK,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,P7WSJP9L,notes/papers/p2019_rose_music_metronomes_differentially_motor_timing_people.md,screen abstract and decide topic memo placement
DOI:10.1093/brain/awz344,Evolving concepts on bradykinesia,Matteo Bologna; Giulia Paparella; Alfonso Fasano; Mark Hallett; Alfredo Berardelli,2020,Brain: A Journal of Neurology,10.1093/brain/awz344,,/Users/rami/Zotero/storage/G4MFAVIT/Bologna et al. - 2020 - Evolving concepts on bradykinesia.pdf,attached,zotero://select/library/items/G4MFAVIT,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,IF5PMF4P,notes/papers/p2020_bologna_evolving_concepts_bradykinesia.md,screen abstract and decide topic memo placement
DOI:10.3389/fbioe.2020.592637,Verification of Finger Joint Stiffness Estimation Method With Soft Robotic Actuator,Xiang Qian Shi; Ho Lam Heung; Zhi Qiang Tang; Kai Yu Tong; Zheng Li,2020,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2020.592637,https://www.frontiersin.org/articles/10.3389/fbioe.2020.592637/full,/Users/rami/Zotero/storage/DLC35B95/Shi et al. - 2020 - Verification of Finger Joint Stiffness Estimation Method With Soft Robotic Actuator.pdf,attached,zotero://select/library/items/DLC35B95,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,K7M39S88,notes/papers/p2020_shi_verification_finger_joint_stiffness_estimation_method.md,screen abstract and decide topic memo placement
DOI:10.1109/TNSRE.2021.3097888,Design and Validation of a Self-Aligning Index Finger Exoskeleton for Post-Stroke Rehabilitation,Ning Sun; Guotao Li; Long Cheng,2021,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/TNSRE.2021.3097888,https://ieeexplore.ieee.org/document/9489286/,/Users/rami/Zotero/storage/H8L6G2I9/Sun et al. - 2021 - Design and Validation of a Self-Aligning Index Finger Exoskeleton for Post-Stroke Rehabilitation.pdf,attached,zotero://select/library/items/H8L6G2I9,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,5EL93XHM,notes/papers/p2021_sun_self_aligning_index_finger_exoskeleton_post.md,screen abstract and decide topic memo placement
DOI:10.1109/ICORR55369.2022.9896595,Design and feasibility of the T-GRIP thumb exoskeleton to support the lateral pinch grasp of spinal cord injury patients,Claudia J. W. Haarman; Edsko E. G. Hekman; Ellen M. Maas; Johan S. Rietman; Herman van der Kooij,2022,IEEE International Conference on Rehabilitation Robotics,10.1109/ICORR55369.2022.9896595,https://pubmed.ncbi.nlm.nih.gov/36176123/,/Users/rami/Zotero/storage/TP57Q6VE/van der Kooij - 2022 - Design and feasibility of the T-GRIP thumb exoskeleton to support the lateral pinch grasp of spinal.pdf,attached,zotero://select/library/items/TP57Q6VE,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,PL9BWHHV,notes/papers/p2022_haarman_feasibility_t_grip_thumb_exoskeleton_support.md,screen abstract and decide topic memo placement
DOI:10.3390/jcm11092543,Improving Upper Extremity Bradykinesia in Parkinson’s Disease: A Randomized Clinical Trial on the Use of Gravity-Supporting Exoskeletons,Loredana Raciti; Loris Pignolo; Valentina Perini; Massimo Pullia; Bruno Porcari; Desiree Latella; Marco Isgrò; Antonino Naro; Rocco Salvatore Calabrò,2022,Journal of Clinical Medicine,10.3390/jcm11092543,https://www.mdpi.com/2077-0383/11/9/2543,/Users/rami/Zotero/storage/9F54TLD4/Raciti et al. - 2022 - Improving Upper Extremity Bradykinesia in Parkinson’s Disease A Randomized Clinical Trial on the Us.pdf,attached,zotero://select/library/items/9F54TLD4,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,DLB7JVI3,notes/papers/p2022_raciti_upper_extremity_bradykinesia_parkinsons_disease_randomized.md,screen abstract and decide topic memo placement
DOI:10.1109/JBHI.2022.3162386,Vision-Based Finger Tapping Test in Patients With Parkinson’s Disease via Spatial-Temporal 3D Hand Pose Estimation,Zhilin Guo; Weiqi Zeng; Taidong Yu; Yan Xu; Yang Xiao; Xuebing Cao; Zhiguo Cao,2022,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2022.3162386,https://ieeexplore.ieee.org/document/9744332/,,missing,,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,8DTBIX7W,notes/papers/p2022_guo_vision_based_finger_tapping_test_patients.md,screen abstract and decide topic memo placement
DOI:10.1109/TOH.2023.3273908,A Soft Hand Exoskeleton With a Novel Tendon Layout to Improve Stable Wearing in Grasping Assistance,Tommaso Bagneschi; Domenico Chiaradia; Gabriele Righi; Giulio Del Popolo; Antonio Frisoli; Daniele Leonardis,2023,IEEE Transactions on Haptics,10.1109/TOH.2023.3273908,https://ieeexplore.ieee.org/document/10122623/,/Users/rami/Zotero/storage/DSRX9T4S/Bagneschi et al. - 2023 - A Soft Hand Exoskeleton With a Novel Tendon Layout to Improve Stable Wearing in Grasping Assistance.pdf,attached,zotero://select/library/items/DSRX9T4S,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,JX3QZUF5,notes/papers/p2023_bagneschi_soft_hand_exoskeleton_novel_tendon_layout.md,screen abstract and decide topic memo placement
